1	what are bigos?	0	bigos --> dish type of dish --> [u'Stew']	0	bigos --> dish cuisine --> [u'Polish food']	0
1886	where is the national ffa foundation located today?	267	EMPTY	0	the national --> artist origin --> [u'Brooklyn', u'Cincinnati']	2
1887	what countries are members of the security council?	253	united nations security council --> author works written --> [u'Verdict on Kashmir', u'Trusteeship for former Japanese Mandated Islands', u'Provisional rules of procedure of the Security Council', u'Official Records, 29th Year, 1810th Meeting', u'Cyprus before the U.N. Security Council']	0	the factory --> mailing address citytown --> [u'Manhattan']	1
1888	where did george herbert walker bush go to college?	1367	george h. w. bush --> education institution --> [u'Yale University', u'Phillips Academy', u'Davenport College']	5	george h. w. bush --> education institution --> [u'Yale University', u'Phillips Academy', u'Davenport College']	5
1889	where is the university of maryland medical school?	55192	university of maryland baltimore --> location containedby --> [u'United States of America', u'Maryland', u'Baltimore']	3	university of maryland college park --> mailing address citytown --> [u'College Park']	44
1890	what are the landlocked countries in latin america?	5523	latin america --> location contains --> [u'Mexico', u'Costa Rica', u'Dominican Republic', u'El Salvador', u'Guatemala']	230	latin america --> location contains --> [u'Mexico', u'Costa Rica', u'Dominican Republic', u'El Salvador', u'Guatemala']	230
1891	when did michael vick start playing for the eagles?	1553	michael vick --> player game statistics season --> [u'2009 NFL season']	0	michael vick --> sports team roster team --> [u'Philadelphia Eagles']	16
1892	what national team does cristiano ronaldo play for?	838	cristiano ronaldo --> football goal point awarded to --> [u'Portugal national football team']	20	cristiano ronaldo --> sports team roster team --> [u'Real Madrid C.F.', u'Manchester United F.C.', u'Portugal national football team', u'Sporting Clube de Portugal']	106
1893	what are the official colors of the dallas cowboys?	5522	dallas cowboys --> sports team colors --> [u'Blue', u'White', u'Navy Blue', u'Silver', u'Royal blue']	0	dallas cowboys --> player nfl team --> [u'Dallas Cowboys']	4179
1894	what were the names of henry viii's three children?	1132	henry viii of england --> person children --> [u'Edward VI of England', u'Elizabeth I of England', u'Henry, Duke of Cornwall', u'Henry, Duke of Cornwall', u'Mary I of England']	205	henry viii of england --> person children --> [u'Edward VI of England', u'Elizabeth I of England', u'Henry, Duke of Cornwall', u'Henry, Duke of Cornwall', u'Mary I of England']	205
1895	what artistic movement did henri matisse belong to?	408	henri matisse --> visual artist associated periods or movements --> [u'Impressionism', u'Neo-impressionism', u'Fauvism', u'Modernism']	47	henri matisse --> visual artist associated periods or movements --> [u'Impressionism', u'Neo-impressionism', u'Fauvism', u'Modernism']	47
1896	when's the last time the mets won the world series?	2456	world series --> sports championship events --> [u'2006 World Series', u'1936 World Series', u'1920 World Series', u'1979 World Series', u'1918 World Series']	30	world series --> sports championship events --> [u'2006 World Series', u'1936 World Series', u'1920 World Series', u'1979 World Series', u'1918 World Series']	30
1897	where was the first microsoft headquarters located?	2143	microsoft --> mailing address citytown --> [u'Redmond']	24	microsoft --> mailing address citytown --> [u'Redmond']	24
1898	what are the names of michael jackson's 3 children?	3163	michael jackson --> person children --> [u'Prince Michael Jackson II', u'Paris-Michael Katherine Jackson', u'Michael Joseph Jackson, Jr.']	0	michael jackson --> person children --> [u'Prince Michael Jackson II', u'Paris-Michael Katherine Jackson', u'Michael Joseph Jackson, Jr.']	0
1899	what was the capital city of the east roman empire?	3063	byzantine empire --> country capital --> [u'Constantinople']	318	roman empire --> country capital --> [u'Constantinople', u'Rome', u'Ravenna']	134
1900	what are the names of harry potter movies in order?	779	harry potter literary series --> literary series works in this series --> [u'Harry Potter and the Deathly Hallows', u'Harry Potter and the Order of the Phoenix', u'Harry Potter and the Prisoner of Azkaban', u'Harry Potter and the Half-Blood Prince', u'Harry Potter and the Chamber of Secrets']	22	harry potter --> performance film --> [u'J.K. Rowling: A Year in the Life', u'Harry Potter and the Order of the Phoenix', u"Harry Potter and the Philosopher's Stone", u'Harry Potter and the Deathly Hallows - Part I', u'Harry Potter and the Chamber of Secrets']	7
1901	what did queen victoria say about the suffragettes?	701	queen victoria --> person quotations --> [u'The important thing is not what they think of me, but what I think of them.', u"The Queen is most anxious to enlist everyone who can speak or write to join in checking this mad, wicked folly of Woman's Rights with all its attendant horrors on which her poor, feeble sex is bent, forgetting every sense of womanly feeling and propriety.", u'He speaks to Me as if I was a public meeting.', u'Affairs go on, and all will take some shape or other, but it keeps one in hot water all the time.', u'A marriage is no amusement but a solemn act, and generally a sad one.']	0	queen victoria --> person parents --> [u'Prince Edward, Duke of Kent and Strathearn', u'Princess Victoria of Saxe-Coburg-Saalfeld']	41
1902	when was the last time knicks won the championship?	2089	new york knicks --> sports team championships --> [u'1973 NBA Finals', u'1970 NBA Finals']	13	new york knicks --> sports team championships --> [u'1973 NBA Finals', u'1970 NBA Finals']	13
1903	what is the head judge of the supreme court called?	1050	supreme court of the united states --> governmental body offices positions --> [u'Chief Justice of the United States']	68	judge --> profession people with this profession --> [u'Birtukan Mideksa', u'Joseph Wapner', u'Michael J. Streit', u'Daryl Hecht', u'Brent R. Appel']	1
1904	what does the sun in the philippine flag represent?	2067	EMPTY	0	flag of the philippines --> flag use flag user --> [u'Philippines']	3
1905	what form of government does the united states use?	186058	united states of america --> country form of government --> [u'Presidential system', u'Federal republic', u'Constitutional republic']	4	united states of america --> country form of government --> [u'Presidential system', u'Federal republic', u'Constitutional republic']	4
1906	what college football team did john elway play for?	8899	john elway --> education institution --> [u'Stanford University', u'Pullman High School']	7	john elway --> football historical roster position team --> [u'Denver Broncos', u'Stanford Cardinal football']	44
1907	what other organisms did mendel use in experiments?	37	gregor mendel --> author works written --> [u'Experiments in plant hybridisation']	0	gregor mendel --> author works written --> [u'Experiments in plant hybridisation']	0
1908	who led the mexican army at the battle of the alamo?	6515	mexican army --> military service military person --> [u'Joseph Warren Revere', u'Felix Salm-Salm', u'Jon Riley', u'Joaqu\xedn Amaro', u'Manuel de Mier y Ter\xe1n']	0	battle of plataea --> military combatant group combatants --> [u'Greece', u'Achaemenid Empire']	10
1909	what city is the south rim of the grand canyon near?	7563	grand canyon --> tourist attraction near travel destination --> [u'Phoenix', u'Grand Canyon National Park', u'Lake Powell']	30	southern united states --> location contains --> [u'Gulf Coast of the United States', u'Upland South', u'U.S. Route 98', u'Walter F. George Lake']	4
1910	when does school start for the university of oregon?	62498	university of oregon --> educational institution campuses --> [u'University of Oregon']	1575	oregon --> location contains --> [u'John Day River', u'Villard Hall', u'Fair Oaks', u'Burnt Woods', u'Neotsu']	4
1911	what countries have german as the official language?	0	EMPTY	0	language --> book subject works --> [u'Language and the Internet', u'The Nature of This Paradigm Dancing', u'Language in Danger', u'Egyptian Grammar: Being an Introduction to the Study of Hieroglyphs', u'The British Edda']	0
1912	which countries have spanish as their main language?	0	EMPTY	0	language --> book subject works --> [u'Language and the Internet', u'The Nature of This Paradigm Dancing', u'Language in Danger', u'Egyptian Grammar: Being an Introduction to the Study of Hieroglyphs', u'The British Edda']	0
1913	what year did seattle seahawks go to the super bowl?	4534	seattle seahawks --> sports team season record season --> [u'2002 NFL season', u'2008 NFL season', u'2004 NFL season', u'2005 NFL season', u'2003 NFL season']	37	super bowl --> recurring event instances --> [u'Super Bowl XIX', u'Super Bowl XXXVII', u'Super Bowl XLVI', u'Super Bowl III', u'Super Bowl XLIV']	118
1914	what did nikola tesla invented that is of use today?	321	nikola tesla --> name source namesakes --> [u'Tesla Motors', u'Belgrade Nikola Tesla Airport', u'Tesla coil', u'Tesla']	10	nikola tesla --> inventor inventions --> [u'Induction motor', u'Remote control', u'Alternating current', u'Wireless telegraphy', u'Neon lamp']	3
1915	what body of water does st lawrence river flow into?	264	saint lawrence river --> river mouth --> [u'Gulf of Saint Lawrence']	58	saint lawrence river --> location events --> [u'Action of 17 July 1628', u'The Beaver Wars', u'Invasion of Canada', u'Battle of the Thousand Islands', u'Battle of the St. Lawrence']	4
1916	what form of government does the united states have?	186058	united states of america --> country form of government --> [u'Presidential system', u'Federal republic', u'Constitutional republic']	4	united states of america --> country form of government --> [u'Presidential system', u'Federal republic', u'Constitutional republic']	4
1917	when did liverpool fc last win the champions league?	4718	liverpool f.c. --> sports team championships --> [u'1977 European Cup Final', u'1981 European Cup Final', u'2005 UEFA Champions League Final', u'1974 FA Cup Final', u'2001 UEFA Super Cup']	37	uefa champions league --> sports championship events --> [u'1966 European Cup Final', u'1995 UEFA Champions League Final', u'1977 European Cup Final', u'1991 European Cup Final', u'1974 European Cup Final']	28
1918	what voices does seth macfarlane play on family guy?	1597	seth macfarlane --> regular tv appearance character --> [u'Tim the Bear', u'God', u'Peter Griffin', u'Stewie Griffin', u'Kool-aid Guy']	14	family guy --> regular tv appearance character --> [u'Chris Griffin', u'Bruce the Performance Artist', u'Herbert', u'Greased Up Deaf Guy', u'Jesus']	17
1919	when's the last time the steelers won the superbowl?	7310	pittsburgh steelers --> sports team championships --> [u'Super Bowl XLIII', u'Super Bowl XIII', u'Super Bowl XL', u'Super Bowl IX', u'Super Bowl X']	135	pittsburgh steelers --> sports team championships --> [u'Super Bowl XLIII', u'Super Bowl XIII', u'Super Bowl XL', u'Super Bowl IX', u'Super Bowl X']	135
1920	what materials did eduardo paolozzi use in his work?	15	eduardo paolozzi --> visual artist art forms --> [u'Sculpture']	0	aubrey beardsley --> visual artist associated periods or movements --> [u'Art Nouveau', u'Aestheticism']	5
1921	what was the title of the book charles darwin wrote?	680	charles darwin --> author works written --> [u'The Voyage of the Beagle', u'The Darwin Reader First Edition', u'Gesammelte kleinere Schriften', u'Darwin and Henslow', u'Part I: Contributions to the Theory of Natural Selection / Part II']	35	charles darwin --> author works written --> [u'The Voyage of the Beagle', u'The Darwin Reader First Edition', u'Gesammelte kleinere Schriften', u'Darwin and Henslow', u'Part I: Contributions to the Theory of Natural Selection / Part II']	35
1922	what type of government did thomas jefferson prefer?	2335	thomas jefferson --> person religion --> [u'Unitarianism', u'Deism']	2	thomas jefferson --> government position held district represented --> [u'United States of America']	28
1923	what countries require travel visas for us citizens?	0	EMPTY	0	stavanger airport forus --> airport serves --> [u'Stavanger', u'Sola']	0
1924	where does the expression excuse my french come from?	0	EMPTY	0	excuse my french --> regular tv appearance actor --> [u'Stuart Gillard']	0
1925	when does the world end according to the mayans time?	50	EMPTY	0	end --> sports team roster team --> [u'Los Angeles Rams', u'Washington Redskins', u'Notre Dame Fighting Irish football', u'Alabama Crimson Tide Football', u'USC Trojans football']	0
1926	where do most illegal immigrants in the us come from?	93239	united states of america --> imports and exports exported to --> [u'Belgium', u'Brazil', u'Germany', u'Japan', u'Netherlands']	3859	united states of america --> adjoining relationship adjoins --> [u'Pacific Ocean', u'Mexico', u'Canada', u'Atlantic Ocean', u'Gulf of Mexico']	6743
1927	where is the fukushima daiichi nuclear plant located?	15	fukushima daiichi nuclear power plant --> location containedby --> [u'Japan', u'Okuma']	4	fukushima daiichi nuclear power plant --> location containedby --> [u'Japan', u'Okuma']	4
1928	what countries have spanish as the national language?	29	EMPTY	0	the national --> artist origin --> [u'Brooklyn', u'Cincinnati']	2
1929	what does egfr african american mean on a blood test?	259	epidermal growth factor receptor --> aptamer target has type --> [u'Protein']	0	african american --> ethnicity geographic distribution --> [u'United States of America', u'Southern United States']	138
1930	what kind of tennis racquet does serena williams use?	2406	serena williams --> sibling relationship sibling --> [u'Venus Williams', u'Isha Price', u'Yetunde Price', u'Lyndrea Price']	384	serena williams --> performance character --> [u'Agent Ross']	0
1931	what did john hancock do for the american revolution?	1050	john hancock --> signatory documents signed --> [u'United States Declaration of Independence', u'Articles of Confederation']	19	american revolution --> event includes event --> [u'American Revolutionary War', u'Raid on Lunenburg, Nova Scotia', u'Boston Massacre']	36
1932	what is the name of the currency used in switzerland?	12819	switzerland --> country currency used --> [u'Swiss franc']	12	switzerland --> country currency used --> [u'Swiss franc']	12
1933	what influenced william shakespeare to start writing?	1007	william shakespeare --> influence node influenced by --> [u'Christopher Marlowe', u'Plutarch', u'Terence', u'Michel de Montaigne', u'Seneca the Younger']	72	william shakespeare --> influence node influenced by --> [u'Christopher Marlowe', u'Plutarch', u'Terence', u'Michel de Montaigne', u'Seneca the Younger']	72
1934	what is the most common language spoken in argentina?	10971	argentina --> country languages spoken --> [u'Italian Language', u'Spanish Language', u'Yiddish Language']	139	argentina --> country languages spoken --> [u'Italian Language', u'Spanish Language', u'Yiddish Language']	139
1935	what was franklin d roosevelt's job before president?	4335	franklin d. roosevelt --> government position held office position or title --> [u'Governor of New York', u'New York State Senator', u'President of the United States', u'Assistant Secretary of the Navy']	379	franklin d. roosevelt --> person profession --> [u'Lawyer', u'Writer', u'Politician', u'Soldier', u'Corporate lawyer']	0
1936	what was the currency used in france before the euro?	60334	france --> country currency formerly used --> [u'French franc', u'Assignat']	11	france --> country currency used --> [u'Euro', u'CFP franc']	13
1937	where is the fukushima daiichi nuclear power station?	29	fukushima daiichi nuclear power plant --> location containedby --> [u'Japan', u'Okuma']	4	fukushima daiichi nuclear power plant --> location containedby --> [u'Japan', u'Okuma']	4
1938	what character did billy d williams play in star wars?	199	EMPTY	0	david williams --> sports team roster team --> [u'Manly-Warringah Sea Eagles']	0
1939	what team did david beckham play for before la galaxy?	36458	david beckham --> football roster position team --> [u'Real Madrid C.F.', u'A.C. Milan', u'England national football team', u'Manchester United F.C.', u'Preston North End F.C.']	57	david beckham --> sports team roster team --> [u'Real Madrid C.F.', u'A.C. Milan', u'England national football team', u'Manchester United F.C.', u'Preston North End F.C.']	57
1940	what form of government do we have in the philippines?	5960	philippines --> country form of government --> [u'Presidential system', u'Republic', u'Unitary state', u'Constitutional republic']	2	philippines --> country form of government --> [u'Presidential system', u'Republic', u'Unitary state', u'Constitutional republic']	2
1941	what language do they speak in colombia south america?	6509	colombia --> country languages spoken --> [u'Spanish Language', u'Cams\xe1 Language', u'Arhuaco Language', u'Cogui Language', u'Andoque language']	61	colombia --> country official language --> [u'Spanish Language']	60
1942	who is the woman that john edwards had an affair with?	415	john edwards --> romantic relationship celebrity --> [u'Rielle Hunter']	8	gina gershon --> award nomination nominated for --> [u'Showgirls', u'Bound']	8
1943	when was the last time the dodgers won a championship?	2740	los angeles dodgers --> sports team championships --> [u'1981 World Series', u'1963 World Series', u'1959 World Series', u'1988 World Series', u'1965 World Series']	64	los angeles dodgers --> sports team championships --> [u'1981 World Series', u'1963 World Series', u'1959 World Series', u'1988 World Series', u'1965 World Series']	64
1944	what jobs did john adams have before he was president?	5304	john adams --> government position held office position or title --> [u'Delegate', u'Delegate to the Continental Congress', u'President of the United States', u'Vice President of the United States', u'United States Ambassador to the United Kingdom']	95	dmx --> person profession --> [u'Film Producer', u'Actor', u'Rapper']	0
1945	what led to the split of the republican party in 1912?	1486	republican party --> political party tenure politician --> [u'Peter G. Van Winkle', u'John Watkins', u'Maria Rodriguez', u'Jerry Nolte', u'Elmer A. Morse']	1	split croatia --> travel destination tourist attractions --> [u"Diocletian's Palace", u'Hvar', u'Bra\u010d', u'Strossmayer Park', u'Cathedral of Saint Domnius']	24
1946	what type of government was utilized in ancient egypt?	9581	egypt --> governmental jurisdiction government bodies --> [u'Shura Council', u'House of Representatives', u'Parliament of Egypt']	10	egypt --> location contains --> [u'Grand Egyptian Museum', u'Oxyrhynchus', u'Esna', u'Girga', u"Hala'ib"]	17
1947	who ran against abraham lincoln for president in 1860?	5490	abraham lincoln --> speech or presentation speaker s --> [u'Stephen A. Douglas']	57	president of the united states --> government position held office holder --> [u'Benjamin Harrison', u'James Monroe', u'William Henry Harrison', u'James A. Garfield', u'Franklin D. Roosevelt']	578
1948	what is the song anna kendrick sings in pitch perfect?	88	anna kendrick --> artist track --> [u'Cups']	0	anna kendrick --> award nomination nominated for --> [u'Up in the Air', u'Camp', u'Pitch Perfect', u'High Society', u'Rocket Science']	27
1949	what countries does canada have trade agreements with?	66730	canada --> imports and exports exported to --> [u'Japan', u'United Kingdom', u'United States of America']	6436	canada --> military combatant group combatants --> [u'Belgium', u'Brazil', u'Bulgaria', u'Kingdom of Italy', u'Germany']	1387
1950	who was the first governor of colonial south carolina?	11380	south carolina --> government position held office holder --> [u'Carroll A. Campbell, Jr.', u'Strom Thurmond', u'Richard Irvine Manning III', u'Nikki Haley', u'Jim Hodges']	68	governor --> government position held office holder --> [u'Janet Napolitano', u'Neil Abercrombie', u'Peter Shumlin', u'James Monroe', u'John Hancock']	2
1951	what is the second biggest state in the united states?	186255	united states of america --> country first level divisions --> [u'California', u'Idaho', u'Illinois', u'Kentucky', u'Louisiana']	9431	united states of america --> country first level divisions --> [u'California', u'Idaho', u'Illinois', u'Kentucky', u'Louisiana']	9431
1952	what type of government was formed when italy unified?	29761	italy --> country form of government --> [u'Constitutional republic', u'Parliamentary republic', u'Unitary republic']	0	malaysia --> country form of government --> [u'Constitutional monarchy', u'Democracy', u'Elective monarchy', u'Parliamentary system']	6
1953	where is the galapagos islands located on a world map?	4	galápagos islands --> location containedby --> [u'Pacific Ocean', u'Gal\xe1pagos Province', u'Ecuador']	0	world --> current area record country --> [u'Jamaica', u'United Kingdom', u'United States of America']	3
1954	where is the home stadium of the new england patriots?	6021	EMPTY	0	new england --> location contains --> [u'Maine', u'New Hampshire', u'Connecticut River', u'Connecticut', u'Rhode Island']	185
1955	who won the battle of gettysburg union or confederate?	6248	battle of gettysburg --> military combatant group combatants --> [u'United States of America', u'Confederate States of America', u'Union']	36	battle of gettysburg --> military command military commander --> [u'Robert E. Lee', u'George Meade']	61
1956	what kind of government system did ancient egypt have?	9595	egypt --> governmental jurisdiction government --> [u'Government of Egypt']	0	egypt --> location contains --> [u'Grand Egyptian Museum', u'Oxyrhynchus', u'Esna', u'Girga', u"Hala'ib"]	17
1957	when is the last time the giants won the world series?	8371	world series --> sports championship events --> [u'2006 World Series', u'1936 World Series', u'1920 World Series', u'1979 World Series', u'1918 World Series']	30	world series --> sports championship events --> [u'2006 World Series', u'1936 World Series', u'1920 World Series', u'1979 World Series', u'1918 World Series']	30
1958	which of the following does australia export the most?	35357	australia --> imports exports by industry industry --> [u'Agriculture', u'Energy']	3	australia --> military combatant group combatants --> [u'Belgium', u'Brazil', u'Bulgaria', u'Germany', u'Italy']	1414
1959	what is the only colony on the south america continent?	8308	americas --> location contains --> [u'Brazil', u'Jamaica', u'North America', u'United States of America', u'Mexico']	167	south america --> location contains --> [u'Mount Roraima', u'Mururata', u'Peruvian Amazon', u'Brazil', u'Pontifical Catholic University of Chile']	493
1960	when did the detroit pistons last win the championship?	10196	detroit pistons --> sports team championships --> [u'2004 NBA Finals', u'1990 NBA Finals', u'1989 NBA Finals']	39	detroit pistons --> sports team championships --> [u'2004 NBA Finals', u'1990 NBA Finals', u'1989 NBA Finals']	39
1961	when did the wright brothers created their first plane?	91	wright brothers --> aircraft manufacturer aircraft models made --> [u'1902 Wright Glider', u'Wright Flyer', u'Wright Model C', u'Wright Model B', u'1900 Wright Glider']	29	wright brothers --> inventor inventions --> [u'Aircraft', u'Airplane']	3
1962	what kind of currency does the dominican republic have?	1267	dominican republic --> country currency used --> [u'Dominican peso']	2	dominican republic --> country currency used --> [u'Dominican peso']	2
1963	what countries have english as their official language?	0	EMPTY	0	language --> book subject works --> [u'Language and the Internet', u'The Nature of This Paradigm Dancing', u'Language in Danger', u'Egyptian Grammar: Being an Introduction to the Study of Hieroglyphs', u'The British Edda']	0
1964	who plays sheldon cooper mother on the big bang theory?	14250	the big bang theory --> award honor award winner --> [u'Jim Parsons', u'Johnny Galecki', u'Kaley Cuoco', u'Simon Helberg']	52	the big bang theory --> award honor award winner --> [u'Jim Parsons', u'Johnny Galecki', u'Kaley Cuoco', u'Simon Helberg']	52
1965	what did neil armstrong say when he landed on the moon?	8184	apollo 11 --> quotation source quotations --> [u"That's one small step for man, one giant leap for mankind."]	0	neil armstrong --> artist track --> [u'One Small Step', u'Going for Gold', u'We All Knew']	0
1966	who did george w. bush run against for the second term?	9159	george bush --> public insult victim --> [u'Al Gore']	188	george bush --> friendship participant --> [u'Bill Clinton', u'Chuck Norris', u'Arnold Schwarzenegger']	297
1967	when was the last time the orioles won the world series?	2331	world series --> sports championship events --> [u'2006 World Series', u'1936 World Series', u'1920 World Series', u'1979 World Series', u'1918 World Series']	30	baltimore orioles --> sports team championships --> [u'1970 World Series', u'1983 World Series', u'1966 World Series']	43
1968	what did thomas jefferson do before he became president?	5064	thomas jefferson --> person profession --> [u'Inventor', u'Lawyer', u'Writer', u'Author', u'Architect']	0	thomas jefferson --> person profession --> [u'Inventor', u'Lawyer', u'Writer', u'Author', u'Architect']	0
1969	what country did the battle of san juan hill take place?	9418	battle of san juan hill --> military combatant group combatants --> [u'United States of America', u'Cuba']	6	battle of san juan hill --> event locations --> [u'Santiago de Cuba']	9
1970	what counties in florida have the lowest property taxes?	12869	florida --> fictional setting universe --> [u'Xanth', u"JoJo's Bizarre Adventure"]	0	florida --> adjoining relationship adjoins --> [u'Georgia', u'Alabama']	966
1971	who plays nicholas newman on the young and the restless?	6335	the young and the restless --> regular tv appearance actor --> [u'Deidre Hall', u'Hunter King', u'Doug Davidson', u'Carlos Bernard', u'Eric Braeden']	23	nicholas newman --> regular tv appearance actor --> [u'Joshua Morrow']	37
1972	what are the names of the city states in ancient greece?	9398	sacred band of thebes --> military combatant group in fiction allied combatants --> [u'Troezen', u'Lemuria', u'Athens', u'Corinth', u'Achaea']	0	greece --> location contains --> [u'Pythion', u'Thermopylae', u'Kritsa', u'Lakmos', u'Spetses']	13
1973	when was the last time the ny knicks won a playoff game?	1491	new york knicks --> sports team championships --> [u'1973 NBA Finals', u'1970 NBA Finals']	13	new york knicks --> sports team championships --> [u'1973 NBA Finals', u'1970 NBA Finals']	13
1974	who played darth vader at the end of return of the jedi?	3490	star wars episode vi: return of the jedi --> performance actor --> [u'James Earl Jones', u'Carrie Fisher', u'Jeremy Bulloch', u'Warwick Davis', u'David Prowse']	7	darth vader --> performance actor --> [u'James Earl Jones', u'Jake Lloyd', u'David Prowse', u'Sebastian Shaw', u'Hayden Christensen']	45
1975	what percentage of cases does the us supreme court take?	94040	supreme court of the united states --> court jurisdiction --> [u'United States of America']	74	united states of america --> countries states provinces within --> [u'California', u'Idaho', u'Illinois', u'Kentucky', u'Louisiana']	9431
1976	what did niels bohr discover about the atomic structure?	340	niels henrik david bohr --> kwtopic has sentences --> [u'The first was the principle of ""complementarity"" that stated there may be more than one true and accurate way to view natural phenomena.', u'The best example was the wave-particle duality discovered in the 1930s, in which particles were found to have wavelike characteristics,  and waves to have particle-like properties.', u'Bohr argued that the two parts of  the duality may appear to be inconsistent, or even in conflict, but that both are necessary to obtain a complete view of particles and waves.', u'The second concept, the principle of ""correspondence"", suggested that the laws of classical physics could be preserved in light of the new quantum physics.', u'Bohr stated that though it is true that quantum mechanics and relativity are essential to an understanding of phenomena on the atomic scale, any conclusion drawn from these principles must not conflict with the way the everyday world behaved.']	0	niels henrik david bohr --> author works written --> [u'Atomic Theory and the Description of Nature', u'Henrik Anthony Kramers [died]', u'Biology and atomic physics', u'Collection of offprint articles', u'On the notions of causality and complementarity']	0
1977	who was with president lincoln when he was assassinated?	6119	abraham lincoln --> murdered person place murdered --> [u"Ford's Theatre"]	42	abraham lincoln --> us president vice president --> [u'Hannibal Hamlin', u'Andrew Johnson']	122
1978	what type of government does the us constitution set up?	93529	united states of america --> country form of government --> [u'Presidential system', u'Federal republic', u'Constitutional republic']	4	united states of america --> country form of government --> [u'Presidential system', u'Federal republic', u'Constitutional republic']	4
1979	what are members of the house of representatives called?	4130	united states house of representatives --> employment tenure title --> [u'Legislative Assistant to Senator Thomas Kuchel', u'Aide to Representative Tom Daschle', u'Legislative Aid to Representative Mark Kirk', u'Chief of Staff', u'Press Secretary for Congressman Bob Etheridge']	0	united states house of representatives --> employment tenure person --> [u'Ray LaHood', u'Leon Panetta', u'Robert Gibbs', u'Ziad S. Ojakli', u'Julia Allison']	1
1980	who was the original voice of meg griffin on family guy?	1041	family guy --> regular tv appearance actor --> [u'Seth MacFarlane', u'Alec Sulkin', u'Patrick Warburton', u'Lacey Chabert', u'Seth Green']	86	family guy --> regular tv appearance actor --> [u'Seth MacFarlane', u'Alec Sulkin', u'Patrick Warburton', u'Lacey Chabert', u'Seth Green']	86
1981	who voiced darth vader in the original star wars movies?	3041	darth vader --> performance actor --> [u'James Earl Jones', u'Jake Lloyd', u'David Prowse', u'Sebastian Shaw', u'Hayden Christensen']	45	darth vader --> performance actor --> [u'James Earl Jones', u'Jake Lloyd', u'David Prowse', u'Sebastian Shaw', u'Hayden Christensen']	45
1982	with which ancient ruler did julius caesar fall in love?	551	julius caesar --> marriage spouse --> [u'Pompeia', u'Cornelia Cinna minor', u'Calpurnia Pisonis']	16	julius caesar --> deceased person cause of death --> [u'Assassination', u'Stabbing', u'Tyrannicide']	0
1983	where is the euphrates and tigris river located on a map?	402	tigris --> river basin countries --> [u'Iran', u'Iraq', u'Turkey', u'Syria']	72	euphrates --> location containedby --> [u'Iraq', u'Turkey', u'Syria', u'Garden of Eden']	111
1984	what are some inventions that leonardo da vinci invented?	949	leonardo da vinci --> inventor inventions --> [u'Aerial Screw', u'Double hull', u'Anemometer', u'Viola organista', u'Parachute']	1	leonardo da vinci --> inventor inventions --> [u'Aerial Screw', u'Double hull', u'Anemometer', u'Viola organista', u'Parachute']	1
1985	when was the last time the la kings won a playoff series?	2151	los angeles kings --> sports team championships --> [u'2012 Stanley Cup Finals']	15	los angeles kings --> sports team championships --> [u'2012 Stanley Cup Finals']	15
1986	who was the leader of the first communist party of china?	16255	communist party of china --> political party tenure politician --> [u'Zeng Qinghong', u'Li Yuanchao', u'Lou Jiwei', u'Lee Teng-hui', u'Jiang Zemin']	14	china --> government position held office holder --> [u'Jiang Zemin', u'Zhu Rongji', u'Wen Jiabao', u'Xi Jinping', u'Mao Zedong']	71
1987	when were south australian women given the right to vote?	6252	south australia --> adjoining relationship adjoins --> [u'Northern Territory', u'New South Wales', u'Western Australia', u'Victoria', u'Queensland']	1054	south australia --> location contains --> [u'Parndana, South Australia', u'Nantawarra', u'Mitchell Park', u'Semaphore', u'Younghusband']	3
1988	which country in north america is divided into provinces?	6438	north america --> location contains --> [u'Gulf of California', u'Universit\xe9 de Montr\xe9al', u'Yale College', u'Virginia Polytechnic Institute and State University', u'Wesleyan University']	3	north america --> location contains --> [u'Gulf of California', u'Universit\xe9 de Montr\xe9al', u'Yale College', u'Virginia Polytechnic Institute and State University', u'Wesleyan University']	3
1989	who is running for vice president with barack obama 2012?	8243	barack obama --> us president vice president --> [u'Joe Biden']	185	barack obama --> us president vice president --> [u'Joe Biden']	185
1990	who ran against bill clinton in the presidential election?	5404	bill clinton --> friendship participant --> [u'Kevin Spacey', u'George Bush', u'Moises Saba', u'Steven Spielberg', u'George Clooney']	295	bill clinton --> us president vice president --> [u'Al Gore']	179
1991	what are the major languages spoken in the united kingdom?	94206	united kingdom --> country languages spoken --> [u'English Language', u'Scots Language', u'Irish', u'Scottish Gaelic language', u'Welsh Language']	96	united kingdom --> country languages spoken --> [u'English Language', u'Scots Language', u'Irish', u'Scottish Gaelic language', u'Welsh Language']	96
1992	what role did alexander hamilton play in the constitution?	667	alexander hamilton --> person profession --> [u'Lawyer', u'Politician', u'Economist', u'Author', u'Financier']	0	alexander hamilton --> author series written or contributed to --> [u'The Federalist Papers', u'The Papers of Alexander Hamilton']	75
1993	what other countries does south africa share borders with?	9916	south africa --> adjoining relationship adjoins --> [u'Zimbabwe', u'Botswana', u'Mozambique', u'Namibia', u'Lesotho']	1618	south africa --> adjoining relationship adjoins --> [u'Zimbabwe', u'Botswana', u'Mozambique', u'Namibia', u'Lesotho']	1618
1994	what are the 7 countries that are part of central america?	358	central america --> location contains --> [u'Costa Rica', u'El Salvador', u'Guatemala', u'Honduras', u'Gran Colombia']	331	central america --> location contains --> [u'Costa Rica', u'El Salvador', u'Guatemala', u'Honduras', u'Gran Colombia']	331
